入口,出口,料金(円),距離(km)
※三郷・三郷JCT （常磐道・外環道）,※三郷・三郷JCT （常磐道・ 外環道）,1490,40.8
※三郷・三郷JCT （常磐道・外環道）,※中央道,1440,39.2
※三郷・三郷JCT （常磐道・外環道）,※京葉 道路,880,21.9
※三郷・三郷JCT （常磐道・外環道）,※保土ヶ谷 バイパス,1950,66.5
※三郷・三郷JCT （常磐道・外環道）,※川口JCT （東北道・ 外環道）,1100,28.9
※三郷・三郷JCT （常磐道・外環道）,※川崎浮島JCT （東京湾 アクアライン）,1540,42.2
※三郷・三郷JCT （常磐道・外環道）,※東名 高速,1470,40.3
※三郷・三郷JCT （常磐道・外環道）,※横浜 横須賀 道路,1950,66.5
※三郷・三郷JCT （常磐道・外環道）,※横浜 横須賀道路 （金沢支線）,1950,71.0
※三郷・三郷JCT （常磐道・外環道）,※第三京浜・ 横浜新道,1950,56.6
※三郷・三郷JCT （常磐道・外環道）,※美女木JCT （外環道）,1330,35.9
※三郷・三郷JCT （常磐道・外環道）,※高谷JCT （東関東道・ 外環道）,1320,35.5
※三郷・三郷JCT （常磐道・外環道）,さいたま見沼,1780,49.7
※三郷・三郷JCT （常磐道・外環道）,みなとみらい,1950,55.8
※三郷・三郷JCT （常磐道・外環道）,一ツ橋,1220,32.6
※三郷・三郷JCT （常磐道・外環道）,一之江,810,19.8
※三郷・三郷JCT （常磐道・外環道）,三ツ沢,1950,56.1
※三郷・三郷JCT （常磐道・外環道）,三軒茶屋,1290,34.5
※三郷・三郷JCT （常磐道・外環道）,上野,1420,38.7
※三郷・三郷JCT （常磐道・外環道）,与野,1590,43.8
※三郷・三郷JCT （常磐道・外環道）,中台,1060,27.6
※三郷・三郷JCT （常磐道・外環道）,中環大井南,1210,32.3
※三郷・三郷JCT （常磐道・外環道）,中野長者橋,1150,30.2
※三郷・三郷JCT （常磐道・外環道）,丸の内,880,22.0
※三郷・三郷JCT （常磐道・外環道）,五反田,1340,36.3
※三郷・三郷JCT （常磐道・外環道）,京橋,880,22.0
※三郷・三郷JCT （常磐道・外環道）,代々木,1160,30.7
※三郷・三郷JCT （常磐道・外環道）,代官町,880,22.0
※三郷・三郷JCT （常磐道・外環道）,入谷,1470,40.2
※三郷・三郷JCT （常磐道・外環道）,八潮,1390,37.7
※三郷・三郷JCT （常磐道・外環道）,八潮南,310,4.6
※三郷・三郷JCT （常磐道・外環道）,八重洲,880,22.0
※三郷・三郷JCT （常磐道・外環道）,初台南,1310,35.3
※三郷・三郷JCT （常磐道・外環道）,加平,410,7.5
※三郷・三郷JCT （常磐道・外環道）,加賀,830,20.6
※三郷・三郷JCT （常磐道・外環道）,勝島,1950,75.1
※三郷・三郷JCT （常磐道・外環道）,北の丸,880,22.0
※三郷・三郷JCT （常磐道・外環道）,北池袋,1180,31.3
※三郷・三郷JCT （常磐道・外環道）,千住新橋,560,12.3
※三郷・三郷JCT （常磐道・外環道）,千鳥町,1240,33.0
※三郷・三郷JCT （常磐道・外環道）,南本牧ふ頭,1950,58.2
※三郷・三郷JCT （常磐道・外環道）,台場,1120,29.3
※三郷・三郷JCT （常磐道・外環道）,向島,640,14.7
※三郷・三郷JCT （常磐道・外環道）,四つ木,590,13.1
※三郷・三郷JCT （常磐道・外環道）,堤通,590,13.0
※三郷・三郷JCT （常磐道・外環道）,外苑,1090,28.6
※三郷・三郷JCT （常磐道・外環道）,大井,1200,31.9
※三郷・三郷JCT （常磐道・外環道）,大井南,1210,32.3
※三郷・三郷JCT （常磐道・外環道）,大師,1460,39.9
※三郷・三郷JCT （常磐道・外環道）,大黒ふ頭,1910,53.6
※三郷・三郷JCT （常磐道・外環道）,天現寺,1130,29.8
※三郷・三郷JCT （常磐道・外環道）,子安,1810,50.8
※三郷・三郷JCT （常磐道・外環道）,守屋町,1820,51.1
※三郷・三郷JCT （常磐道・外環道）,安行,990,25.4
※三郷・三郷JCT （常磐道・外環道）,宝町,880,22.0
※三郷・三郷JCT （常磐道・外環道）,富ヶ谷,1250,33.5
※三郷・三郷JCT （常磐道・外環道）,小松川,760,18.4
※三郷・三郷JCT （常磐道・外環道）,小菅,1140,29.9
※三郷・三郷JCT （常磐道・外環道）,山下町,1950,60.0
※三郷・三郷JCT （常磐道・外環道）,岸谷生麦,1780,49.8
※三郷・三郷JCT （常磐道・外環道）,幡ヶ谷,1230,32.8
※三郷・三郷JCT （常磐道・外環道）,平井大橋,670,15.7
※三郷・三郷JCT （常磐道・外環道）,平和島,1300,35.0
※三郷・三郷JCT （常磐道・外環道）,幸浦,1950,70.1
※三郷・三郷JCT （常磐道・外環道）,戸田南,1250,33.5
※三郷・三郷JCT （常磐道・外環道）,戸越,1260,33.7
※三郷・三郷JCT （常磐道・外環道）,扇大橋,660,15.3
※三郷・三郷JCT （常磐道・外環道）,新井宿,1070,27.9
※三郷・三郷JCT （常磐道・外環道）,新宿,1180,31.4
※三郷・三郷JCT （常磐道・外環道）,新富町,880,22.0
※三郷・三郷JCT （常磐道・外環道）,新山下,1950,57.7
※三郷・三郷JCT （常磐道・外環道）,新木場,1020,26.2
※三郷・三郷JCT （常磐道・外環道）,新板橋,1260,33.6
※三郷・三郷JCT （常磐道・外環道）,新横浜,1950,56.0
※三郷・三郷JCT （常磐道・外環道）,新郷,940,24.0
※三郷・三郷JCT （常磐道・外環道）,新都心,1700,47.4
※三郷・三郷JCT （常磐道・外環道）,新都心西,1650,45.6
※三郷・三郷JCT （常磐道・外環道）,早稲田,1040,27.1
※三郷・三郷JCT （常磐道・外環道）,晴海,1130,29.8
※三郷・三郷JCT （常磐道・外環道）,有明,1040,27.1
※三郷・三郷JCT （常磐道・外環道）,木場,890,22.2
※三郷・三郷JCT （常磐道・外環道）,本牧ふ頭,1950,56.7
※三郷・三郷JCT （常磐道・外環道）,本町,1350,36.5
※三郷・三郷JCT （常磐道・外環道）,杉田,1950,67.0
※三郷・三郷JCT （常磐道・外環道）,東扇島,1670,46.3
※三郷・三郷JCT （常磐道・外環道）,東池袋,1020,26.3
※三郷・三郷JCT （常磐道・外環道）,東神奈川,1890,53.0
※三郷・三郷JCT （常磐道・外環道）,板橋本町,970,24.7
※三郷・三郷JCT （常磐道・外環道）,枝川,1120,29.4
※三郷・三郷JCT （常磐道・外環道）,横浜公園,1950,58.2
※三郷・三郷JCT （常磐道・外環道）,横浜港北,1950,57.2
※三郷・三郷JCT （常磐道・外環道）,横浜青葉,1950,64.3
※三郷・三郷JCT （常磐道・外環道）,横浜駅東口,1950,62.6
※三郷・三郷JCT （常磐道・外環道）,横浜駅西口,1950,54.9
※三郷・三郷JCT （常磐道・外環道）,殿町,1650,45.7
※三郷・三郷JCT （常磐道・外環道）,永田,1950,64.2
※三郷・三郷JCT （常磐道・外環道）,永福,1330,35.8
※三郷・三郷JCT （常磐道・外環道）,汐入,1680,46.6
※三郷・三郷JCT （常磐道・外環道）,汐留,880,22.0
※三郷・三郷JCT （常磐道・外環道）,汐留 乗継所,880,22.0
※三郷・三郷JCT （常磐道・外環道）,浅田,1950,61.3
※三郷・三郷JCT （常磐道・外環道）,浜川崎,1580,43.7
※三郷・三郷JCT （常磐道・外環道）,浦和南,1380,37.4
※三郷・三郷JCT （常磐道・外環道）,浦安,1110,29.1
※三郷・三郷JCT （常磐道・外環道）,浮島,1540,42.2
※三郷・三郷JCT （常磐道・外環道）,清新町,870,21.8
※三郷・三郷JCT （常磐道・外環道）,渋谷,1190,31.7
※三郷・三郷JCT （常磐道・外環道）,湾岸環八,1950,68.0
※三郷・三郷JCT （常磐道・外環道）,王子南・ 王子北,790,19.1
※三郷・三郷JCT （常磐道・外環道）,生麦,1950,68.7
※三郷・三郷JCT （常磐道・外環道）,用賀,1460,39.9
※三郷・三郷JCT （常磐道・外環道）,白魚橋 乗継所,880,22.0
※三郷・三郷JCT （常磐道・外環道）,目黒,1180,31.4
※三郷・三郷JCT （常磐道・外環道）,磯子,1950,64.9
※三郷・三郷JCT （常磐道・外環道）,神田橋,880,22.0
※三郷・三郷JCT （常磐道・外環道）,福住,1200,31.8
※三郷・三郷JCT （常磐道・外環道）,空港中央,1400,38.0
※三郷・三郷JCT （常磐道・外環道）,空港西,1370,37.2
※三郷・三郷JCT （常磐道・外環道）,箱崎 浜町 清洲橋,830,20.4
※三郷・三郷JCT （常磐道・外環道）,羽田,1410,38.4
※三郷・三郷JCT （常磐道・外環道）,臨海副都心,1620,44.8
※三郷・三郷JCT （常磐道・外環道）,船堀橋,1260,33.8
※三郷・三郷JCT （常磐道・外環道）,芝公園,880,22.0
※三郷・三郷JCT （常磐道・外環道）,芝浦,1060,27.6
※三郷・三郷JCT （常磐道・外環道）,花之木,1950,62.5
※三郷・三郷JCT （常磐道・外環道）,荏原,1250,33.3
※三郷・三郷JCT （常磐道・外環道）,葛西,1000,25.7
※三郷・三郷JCT （常磐道・外環道）,西池袋,1020,26.4
※三郷・三郷JCT （常磐道・外環道）,西神田,950,24.3
※三郷・三郷JCT （常磐道・外環道）,西銀座 乗継所,880,22.0
※三郷・三郷JCT （常磐道・外環道）,護国寺,1080,28.2
※三郷・三郷JCT （常磐道・外環道）,豊洲,1090,28.4
※三郷・三郷JCT （常磐道・外環道）,鈴ヶ森,1250,33.4
※三郷・三郷JCT （常磐道・外環道）,銀座,880,22.0
※三郷・三郷JCT （常磐道・外環道）,錦糸町,950,24.2
※三郷・三郷JCT （常磐道・外環道）,霞が関,880,22.0
※三郷・三郷JCT （常磐道・外環道）,飯倉,880,22.0
※三郷・三郷JCT （常磐道・外環道）,飯田橋,1150,30.2
※三郷・三郷JCT （常磐道・外環道）,馬場,1880,52.7
※三郷・三郷JCT （常磐道・外環道）,駒形,930,23.7
※三郷・三郷JCT （常磐道・外環道）,高井戸,1420,38.5
※三郷・三郷JCT （常磐道・外環道）,高島平,1170,30.8
※三郷・三郷JCT （常磐道・外環道）,高樹町,1130,29.7
※三郷・三郷JCT （常磐道・外環道）,鹿浜橋,770,18.6
※中央道,※三郷・三郷JCT （常磐道・ 外環道）,1440,39.2
※中央道,※中央道,1200,31.8
※中央道,※京葉 道路,1160,30.5
※中央道,※保土ヶ谷 バイパス,1950,55.9
※中央道,※川口JCT （東北道・ 外環道）,1320,35.5
※中央道,※川崎浮島JCT （東京湾 アクアライン）,1190,31.6
※中央道,※東名 高速,770,18.5
※中央道,※横浜 横須賀 道路,1950,55.9
※中央道,※横浜 横須賀道路 （金沢支線）,1950,60.4
※中央道,※第三京浜・ 横浜新道,1660,46.0
※中央道,※美女木JCT （外環道）,1080,28.3
※中央道,※高谷JCT （東関東道・ 外環道）,1420,38.7
※中央道,さいたま見沼,1530,42.1
※中央道,みなとみらい,1630,45.2
※中央道,一ツ橋,1820,51.0
※中央道,一之江,1090,28.4
※中央道,三ツ沢,1640,45.5
※中央道,三軒茶屋,580,12.7
※中央道,上野,1030,26.5
※中央道,与野,1340,36.2
※中央道,中台,810,20.0
※中央道,中環大井南,870,21.7
※中央道,中野長者橋,1740,48.6
※中央道,丸の内,630,14.4
※中央道,五反田,640,14.5
※中央道,京橋,630,14.4
※中央道,代々木,920,23.3
※中央道,代官町,630,14.4
※中央道,入谷,1070,28.0
※中央道,八潮,1340,36.1
※中央道,八潮南,1290,34.6
※中央道,八重洲,630,14.4
※中央道,初台,380,6.7
※中央道,初台南,920,23.1
※中央道,加平,1190,31.7
※中央道,加賀,1050,27.2
※中央道,勝島,1950,64.5
※中央道,北の丸,630,14.4
※中央道,北池袋,930,23.5
※中央道,千住新橋,1040,27.1
※中央道,千鳥町,1340,36.2
※中央道,南本牧ふ頭,1710,47.6
※中央道,台場,900,22.7
※中央道,向島,960,24.5
※中央道,四つ木,1110,29.1
※中央道,堤通,1020,26.2
※中央道,外苑,510,10.6
※中央道,大井,1080,28.2
※中央道,大井南,870,21.7
※中央道,大師,1120,29.3
※中央道,大黒ふ頭,1560,43.0
※中央道,天現寺,780,19.0
※中央道,子安,1470,40.2
※中央道,守屋町,1460,39.8
※中央道,安行,1200,32.0
※中央道,宝町,630,14.4
※中央道,富ヶ谷,460,9.1
※中央道,小松川,1040,27.0
※中央道,小菅,1080,28.3
※中央道,山下町,1750,48.7
※中央道,岸谷生麦,1440,39.2
※中央道,幡ヶ谷,990,25.4
※中央道,平井大橋,1190,31.7
※中央道,平和島,1090,28.4
※中央道,幸浦,1950,59.5
※中央道,戸田南,1010,25.9
※中央道,戸越,910,22.9
※中央道,扇大橋,1260,33.7
※中央道,新井宿,1290,34.5
※中央道,新宿,420,7.8
※中央道,新富町,630,14.4
※中央道,新山下,1690,47.1
※中央道,新木場,1000,25.6
※中央道,新板橋,710,16.9
※中央道,新横浜,1640,45.4
※中央道,新郷,1160,30.6
※中央道,新都心,1460,39.8
※中央道,新都心西,1400,38.0
