junction,from,to,reason
NishiShinjukuJCT,R4A_DOWN,C2_CCW,不可
NishiShinjukuJCT,R4A_DOWN,C2_CW,不可
NishiShinjukuJCT,C2_CCW,R4A_UP,不可
NishiShinjukuJCT,C2_CW,R4A_UP,不可
NishiShinjukuJCT,R4B_DOWN,C2_CCW,不可
NishiShinjukuJCT,R4B_DOWN,C2_CW,不可
KumanochoJCT,C2_CW,R5A_UP,不可
KumanochoJCT,R5A_DOWN,C2_CCW,不可
KomatsugawaJCT,C2_CW,R7A_UP,不可
KomatsugawaJCT,C2_CCW,R7A_UP,不可
KomatsugawaJCT,R7A_DOWN,C2_CCW,不可
KomatsugawaJCT,R7A_DOWN,C2_CW,不可
KomatsugawaJCT,R7B_UP,C2_CCW,不可
KomatsugawaJCT,R7B_UP,C2_CW,不可
KomatsugawaJCT,C2_CCW,R7B_DOWN,不可
RyougokuJCT,R7A_UP,R6A_DOWN,不可
RyougokuJCT,R6A_UP,R7A_DOWN,不可
EdobashiJCT,R1U_UP,R6A_DOWN,不可
EdobashiJCT,R1U_UP,C1_CCW,不可
EdobashiJCT,C1_CW,R1U_DOWN,不可
EdobashiJCT,R6A_UP,R1U_DOWN,不可
ShibauraJCT,R11_UP,R1H_DOWN,不可
ShibauraJCT,R1H_UP,R11_DOWN,不可
ShibauraJCT,R11_DOWN,R1H_UP,不可
OoiJCT,BAY_W,R1H_UP,不可
TokaiShowajimaGroup,BAY_E,R1H_DOWN,不可
TokaiShowajimaGroup,R1H_UP,BAY_W,不可
TokaiShowajimaGroup,R1H_DOWN,BAY_W,不可
TokaiShowajimaGroup,R1H_DOWN,BAY_E,不可
DaishiJCT,K6_DOWN,K1_UP,不可
DaishiJCT,K1_DOWN,K6_UP,不可
TokaiJCT,BAY_E,BAYX_W,不可
TokaiJCT,BAYX_E,BAY_W,不可
ShowajimaJCT,BAYX_W,R1H_UP,不可
ShowajimaJCT,R1H_DOWN,BAYX_E,不可
OoiJCT,BAY_W,R1H_UP,不可
TokaiShowajimaGroup,BAY_E,R1H_UP,不可
ShibauraJCT,R1H_DOWN,R11_UP,不可
ShibauraJCT,R1H_UP,R11_UP,不可
ShibauraJCT,C1_CW,R1H_UP,不可
ShibauraJCT,C1_CW,R1H_DOWN,不可
ShibauraJCT,C1_CCW,R1H_UP,不可
ShibauraJCT,C1_CCW,R1H_DOWN,不可
ShibauraJCT,R1H_UP,C1_CW,不可
ShibauraJCT,R1H_UP,C1_CCW,不可
ShibauraJCT,R1H_DOWN,C1_CW,不可
ShibauraJCT,R1H_DOWN,C1_CCW,不可
HamasakibashiJCT,C1_CW,R11_UP,不可
HamasakibashiJCT,C1_CW,R11_DOWN,不可
HamasakibashiJCT,C1_CCW,R11_UP,不可
HamasakibashiJCT,C1_CCW,R11_DOWN,不可
HamasakibashiJCT,R11_UP,C1_CW,不可
HamasakibashiJCT,R11_UP,C1_CCW,不可
HamasakibashiJCT,R11_DOWN,C1_CW,不可
HamasakibashiJCT,R11_DOWN,C1_CCW,不可
