IC名,路線名,入口タグ,出口タグ
晴海,高速10号晴海線,下り,上り
豊洲,高速10号晴海線,下り,上り
台場,高速11台場線,上り,下り
羽田,高速1号羽田線,上り、下り,上り、下り
平和島,高速1号羽田線,上り、下り,上り、下り
勝島,高速1号羽田線,下り,上り
空港西,高速1号羽田線,上り,下り
芝浦,高速1号羽田線,上り、下り,上り、下り
鈴ヶ森,高速1号羽田線,上り,下り
本町,高速1号上野線,上り、下り,上り、下り
入谷,高速1号上野線,上り,下り
上野,高速1号上野線,上り,下り
荏原,高速2号目黒線,上り,下り
目黒,高速2号目黒線,上り,下り
天現寺,高速2号目黒線,上り,下り
戸越,高速2号目黒線,上り,下り
池尻,高速3号渋谷線,下り,上り
三軒茶屋,高速3号渋谷線,上り,下り
渋谷,高速3号渋谷線,上り、下り,上り、下り
高樹町,高速3号渋谷線,上り,下り
用賀,高速3号渋谷線,上り,下り
永福,高速4号新宿線,上り、下り,上り、下り
外苑,高速4号新宿線,上り、下り,上り、下り
幡ヶ谷,高速4号新宿線,上り,下り
初台,高速4号新宿線,下り,上り
新宿,高速4号新宿線,上り,上り、下り
高井戸,高速4号新宿線,上り,下り
代々木,高速4号新宿線,上り,下り
護国寺,高速5号池袋線,上り,下り
東池袋,高速5号池袋線,上り、下り,上り、下り
一ツ橋,高速5号池袋線,下り,上り
飯田橋,高速5号池袋線,下り,上り
板橋本町,高速5号池袋線,上り、下り,上り、下り
北池袋,高速5号池袋線,上り,下り
中台,高速5号池袋線,上り,下り
西神田,高速5号池袋線,上り,下り
高島平,高速5号池袋線,上り,下り
戸田,高速5号池袋線,下り,上り
戸田南,高速5号池袋線,上り,下り
早稲田,高速5号池袋線,-,下り
加平,高速6号三郷線,上り、下り,上り、下り
三郷,高速6号三郷線,上り,下り
八潮,高速6号三郷線,上り,下り
八潮南,高速6号三郷線,上り、下り,上り、下り
箱崎,高速6号向島線,上り、下り,上り、下り
浜町,高速6号向島線,上り、下り,上り、下り
清洲橋,高速6号向島線,-,上り、下り
駒形,高速6号向島線,上り,下り
向島,高速6号向島線,上り、下り,上り、下り
堤通,高速6号向島線,上り、下り,上り、下り
一之江,高速7号小松川線,上り,下り
錦糸町,高速7号小松川線,上り、下り,上り、下り
小松川,高速7号小松川線,上り,下り
枝川,高速9号深川線,-,上り
福住,高速9号深川線,下り,上り
木場,高速9号深川線,上り,下り
塩浜,高速9号深川線,下り,-
有明,高速湾岸線,東行き,西行き
千鳥町,高速湾岸線,西行き,東行き
大黒ふ頭,高速湾岸線,西行き、東行き,西行き、東行き
大黒ふ頭,高速神奈川5号大黒線,上り,下り
東扇島,高速湾岸線,西行き、東行き,西行き、東行き
本牧ふ頭,高速湾岸線,東行き,西行き
磯子,高速湾岸線,東行き,西行き
葛西,高速湾岸線,西行き、東行き,西行き、東行き
空港中央,高速湾岸線,西行き、東行き,西行き、東行き
舞浜,高速湾岸線,西行き,-
南本牧ふ頭,高速湾岸線,東行き,西行き
大井,高速湾岸線,東行き,西行き
大井南,高速湾岸線,西行き,西行き、東行き
臨海副都心,高速湾岸線,西行き,東行き
幸浦,高速湾岸線,東行き,西行き
三溪園,高速湾岸線,西行き,東行き
新木場,高速湾岸線,西行き、東行き,西行き、東行き
杉田,高速湾岸線,西行き、東行き,西行き、東行き
浮島,高速湾岸線,西行き、東行き,西行き、東行き
浦安,高速湾岸線,西行き、東行き,西行き、東行き
湾岸環八,高速湾岸線,西行き,東行き
代官町,高速都心環状線,内回り,外回り
